No.	Fokus		Waktu
841,	RIGHT		10:34:19;67082
842,	RIGHT		10:34:19;67100
843,	RIGHT		10:34:19;67115
844,	RIGHT		10:34:19;67133
845,	RIGHT		10:34:19;67150
846,	RIGHT		10:34:19;67164
847,	RIGHT		10:34:19;67181
848,	RIGHT		10:34:19;67198
849,	RIGHT		10:34:19;67215
850,	RIGHT		10:34:19;67230
851,	RIGHT		10:34:19;67251
852,	RIGHT		10:34:19;67267
853,	RIGHT		10:34:19;67283
854,	RIGHT		10:34:19;67301
855,	RIGHT		10:34:19;67317
856,	RIGHT		10:34:19;67333
857,	RIGHT		10:34:19;67352
858,	RIGHT		10:34:19;67366
859,	RIGHT		10:34:19;67383
860,	RIGHT		10:34:19;67402
861,	RIGHT		10:34:19;67417
862,	RIGHT		10:34:19;67433
863,	RIGHT		10:34:19;67451
