No, Fokus, Waktu
400, RIGHT, 10:43:32;36745
401, RIGHT, 10:43:33;36763
402, RIGHT, 10:43:33;36778
403, RIGHT, 10:43:33;36794
404, RIGHT, 10:43:33;36813
405, RIGHT, 10:43:33;36828
406, RIGHT, 10:43:33;36846
407, RIGHT, 10:43:33;36862
408, RIGHT, 10:43:33;36878
409, RIGHT, 10:43:33;36895
410, RIGHT, 10:43:33;36913
411, RIGHT, 10:43:33;36927
412, RIGHT, 10:43:33;36945
413, RIGHT, 10:43:33;36961
414, RIGHT, 10:43:33;36977
415, RIGHT, 10:43:33;36996
416, RIGHT, 10:43:33;37010
417, RIGHT, 10:43:33;37027
418, RIGHT, 10:43:33;37043
419, RIGHT, 10:43:33;37060
420, RIGHT, 10:43:33;37079
421, RIGHT, 10:43:33;37096
422, RIGHT, 10:43:33;37112
423, RIGHT, 10:43:33;37127
424, RIGHT, 10:43:33;37145
425, RIGHT, 10:43:33;37161
426, RIGHT, 10:43:33;37177
427, RIGHT, 10:43:33;37195
428, RIGHT, 10:43:33;37211
429, RIGHT, 10:43:33;37227
430, RIGHT, 10:43:33;37244
431, RIGHT, 10:43:33;37262
