%0o,	Fokus, Waktu
587, 0, 13:44:56.421
588, 0, 13:44:56.437
589, 0, 13:44:56.454
590, 0, 13:44:56.471
591, 0, 13:44:56.487
592, 0, 13:44:56.504
593, 0, 13:44:56.521
594, 0, 13:44:56.538
595, 0, 13:44:56.553
596, 0, 13:44:56.571
597, 0, 13:44:56.587
598, 0, 13:44:56.604
599, 0, 13:44:56.620
600, 0, 13:44:56.637
601, 0, 13:44:56.653
602, 0, 13:44:56.670
603, 0, 13:44:56.688
604, 0, 13:44:56.703
605, 0, 13:44:56.721
606, 0, 13:44:56.737
607, 0, 13:44:56.753
608, 0, 13:44:56.771
609, 0, 13:44:56.787
610, 0, 13:44:56.803
611, 0, 13:44:56.820
612, 0, 13:44:56.837
613, 0, 13:44:56.853
614, 0, 13:44:56.871
615, 0, 13:44:56.888
616, 0, 13:44:56.903
617, 0, 13:44:56.920
618, 0, 13:44:56.937
619, 0, 13:44:56.953
620, 0, 13:44:56.970
621, 0, 13:44:56.987
622, 0, 13:44:57.003
623, 0, 13:44:57.020
624, 0, 13:44:57.037
625, 0, 13:44:57.053
626, 0, 13:44:57.071
627, 0, 13:44:57.087
628, 0, 13:44:57.103
629, 0, 13:44:57.121
630, 0, 13:44:57.138
631, 0, 13:44:57.153
632, 0, 13:44:57.171
633, 0, 13:44:57.187
634, 0, 13:44:57.204
635, 0, 13:44:57.221
636, 0, 13:44:57.237
637, 0, 13:44:57.253
638, 0, 13:44:57.270
639, 0, 13:44:57.287
640, 0, 13:44:57.303
641, 0, 13:44:57.320
642, 0, 13:44:57.337
643, 0, 13:44:57.354
644, 0, 13:44:57.370
645, 0, 13:44:57.387
646, 0, 13:44:57.403
647, 0, 13:44:57.420
648, 0, 13:44:57.437
649, 0, 13:44:57.453
650, 0, 13:44:57.470
651, 0, 13:44:57.487
652, 0, 13:44:57.503
653, 0, 13:44:57.520
654, 0, 13:44:57.537
655, 0, 13:44:57.553
656, 0, 13:44:57.570
657, 0, 13:44:57.587
658, 0, 13:44:57.604
659, 0, 13:44:57.621
660, 0, 13:44:57.637
661, 0, 13:44:57.653
662, 0, 13:44:57.670
663, 0, 13:44:57.687
664, 0, 13:44:57.703
665, 0, 13:44:57.720
666, 0, 13:44:57.737
667, 0, 13:44:57.753
668, 0, 13:44:57.770
669, 0, 13:44:57.787
